index,french,english,audio,Semantic Domain,Bloom's Category,Aspectual Class
28,arriver,to arrive,french_audio/arriver.mp3,Motion/Space,Knowledge,Achievement
29,entendre,to hear,french_audio/entendre.mp3,Perception,Knowledge,State
30,sentir,to feel/smell,french_audio/sentir.mp3,Perception,Knowledge,State
31,attendre,to wait,french_audio/attendre.mp3,Existence/State,Knowledge,Activity
32,connaître,to know (people),french_audio/connaître.mp3,Cognition,Knowledge,State
33,sortir,to go out,french_audio/sortir.mp3,Motion/Space,Knowledge,Activity
34,comprendre,to understand,french_audio/comprendre.mp3,Cognition,Comprehension,State
35,sembler,to seem,french_audio/sembler.mp3,Existence/State,Knowledge,State
36,devenir,to become,french_audio/devenir.mp3,Existence/State,Knowledge,Achievement
37,ouvrir,to open,french_audio/ouvrir.mp3,Physical Contact,Application,Achievement
38,revenir,to come back,french_audio/revenir.mp3,Motion/Space,Knowledge,Activity
39,partir,to leave,french_audio/partir.mp3,Motion/Space,Knowledge,Achievement
40,porter,to carry/wear,french_audio/porter.mp3,Motion/Space,Application,Activity
41,rendre,to return (object),french_audio/rendre.mp3,Possession,Application,Achievement
42,répondre,to answer,french_audio/répondre.mp3,Communication,Application,Activity
43,appeler,to call,french_audio/appeler.mp3,Communication,Knowledge,Achievement
44,arrêter,to stop,french_audio/arrêter.mp3,Motion/Space,Application,Achievement
45,vivre,to live,french_audio/vivre.mp3,Existence/State,Knowledge,State
46,chercher,to look for,french_audio/chercher.mp3,Cognition,Analysis,Activity
47,paraître,to appear,french_audio/paraître.mp3,Existence/State,Knowledge,State
48,tomber,to fall,french_audio/tomber.mp3,Motion/Space,Knowledge,Achievement
49,lever,to raise/lift,french_audio/lever.mp3,Motion/Space,Application,Achievement
50,commencer,to begin,french_audio/commencer.mp3,Aspectual,Knowledge,Achievement
51,finir,to finish,french_audio/finir.mp3,Aspectual,Knowledge,Achievement
52,retrouver,to find again,french_audio/retrouver.mp3,Cognition,Knowledge,Achievement
53,poser,to place/put,french_audio/poser.mp3,Motion/Space,Application,Achievement
54,monter,to go up,french_audio/monter.mp3,Motion/Space,Knowledge,Activity
55,entrer,to enter,french_audio/entrer.mp3,Motion/Space,Knowledge,Achievement
56,asseoir,to sit,french_audio/asseoir.mp3,Motion/Space,Application,Achievement
57,mourir,to die,french_audio/mourir.mp3,Existence/State,Knowledge,Achievement
58,tirer,to pull,french_audio/tirer.mp3,Physical Contact,Application,Activity
59,perdre,to lose,french_audio/perdre.mp3,Possession,Knowledge,Achievement
60,tourner,to turn,french_audio/tourner.mp3,Motion/Space,Application,Activity
61,écrire,to write,french_audio/écrire.mp3,Communication,Synthesis,Accomplishment
62,reprendre,to take back,french_audio/reprendre.mp3,Possession,Application,Achievement
63,jouer,to play,french_audio/jouer.mp3,Activity/Social,Application,Activity
64,jeter,to throw,french_audio/jeter.mp3,Physical Contact,Application,Achievement
65,marcher,to walk,french_audio/marcher.mp3,Motion/Space,Application,Activity
66,lire,to read,french_audio/lire.mp3,Communication,Comprehension,Activity
67,rire,to laugh,french_audio/rire.mp3,Bodily Function,Application,Activity
68,quitter,to leave (place),french_audio/quitter.mp3,Motion/Space,Knowledge,Achievement
69,écouter,to listen,french_audio/écouter.mp3,Perception,Application,Activity
70,descendre,to descend,french_audio/descendre.mp3,Motion/Space,Knowledge,Activity
71,essayer,to try,french_audio/essayer.mp3,Cognition,Application,Activity
72,retourner,to return,french_audio/retourner.mp3,Motion/Space,Knowledge,Activity
73,pousser,to push,french_audio/pousser.mp3,Physical Contact,Application,Activity
74,oublier,to forget,french_audio/oublier.mp3,Cognition,Knowledge,Achievement
75,apprendre,to learn,french_audio/apprendre.mp3,Cognition,Knowledge,Accomplishment
76,servir,to serve,french_audio/servir.mp3,Activity/Social,Application,Activity
77,continuer,to continue,french_audio/continuer.mp3,Aspectual,Knowledge,Activity
78,manger,to eat,french_audio/manger.mp3,Bodily Function,Application,Accomplishment
79,rentrer,to return home,french_audio/rentrer.mp3,Motion/Space,Knowledge,Achievement
80,montrer,to show,french_audio/montrer.mp3,Communication,Application,Activity
81,boire,to drink,french_audio/boire.mp3,Bodily Function,Application,Accomplishment
82,courir,to run,french_audio/courir.mp3,Motion/Space,Application,Activity
83,sourire,to smile,french_audio/sourire.mp3,Bodily Function,Application,Activity
84,raconter,to tell/narrate,french_audio/raconter.mp3,Communication,Synthesis,Accomplishment
85,dormir,to sleep,french_audio/dormir.mp3,Bodily Function,Knowledge,Activity
86,garder,to keep,french_audio/garder.mp3,Possession,Knowledge,State
87,changer,to change,french_audio/changer.mp3,Creation/Change,Analysis,Achievement
88,imaginer,to imagine,french_audio/imaginer.mp3,Cognition,Synthesis,Activity
89,crier,to shout,french_audio/crier.mp3,Communication,Application,Activity
90,expliquer,to explain,french_audio/expliquer.mp3,Communication,Comprehension,Activity
91,apercevoir,to glimpse,french_audio/apercevoir.mp3,Perception,Knowledge,Achievement
92,glisser,to slide,french_audio/glisser.mp3,Motion/Space,Application,Activity
93,reconnaître,to recognize,french_audio/reconnaître.mp3,Cognition,Knowledge,Achievement
94,ajouter,to add,french_audio/ajouter.mp3,Creation/Change,Application,Achievement
95,recevoir,to receive,french_audio/recevoir.mp3,Possession,Knowledge,Achievement
96,occuper,to occupy,french_audio/occuper.mp3,Existence/State,Application,State
97,agir,to act,french_audio/agir.mp3,Activity/Social,Application,Activity
98,tendre,to stretch/reach,french_audio/tendre.mp3,Physical Contact,Application,Activity
99,souvenir,to remember,french_audio/souvenir.mp3,Cognition,Knowledge,State
100,décider,to decide,french_audio/décider.mp3,Cognition,Evaluation,Achievement
101,offrir,to offer,french_audio/offrir.mp3,Possession,Application,Achievement
102,serrer,to squeeze/tighten,french_audio/serrer.mp3,Physical Contact,Application,Activity
103,compter,to count/rely,french_audio/compter.mp3,Cognition,Application,Activity
104,travailler,to work,french_audio/travailler.mp3,Activity/Social,Application,Activity
105,remettre,to put back,french_audio/remettre.mp3,Motion/Space,Application,Achievement
106,rappeler,to remind/recall,french_audio/rappeler.mp3,Cognition,Knowledge,Achievement
107,traverser,to cross,french_audio/traverser.mp3,Motion/Space,Application,Accomplishment
108,répéter,to repeat,french_audio/répéter.mp3,Communication,Knowledge,Activity
109,découvrir,to discover,french_audio/découvrir.mp3,Cognition,Knowledge,Achievement
110,manquer,to miss/lack,french_audio/manquer.mp3,Existence/State,Knowledge,State
111,fermer,to close,french_audio/fermer.mp3,Physical Contact,Application,Achievement
112,coucher,to put to bed,french_audio/coucher.mp3,Bodily Function,Application,Achievement
113,approcher,to approach,french_audio/approcher.mp3,Motion/Space,Application,Activity
114,avancer,to advance,french_audio/avancer.mp3,Motion/Space,Application,Activity
115,toucher,to touch,french_audio/toucher.mp3,Physical Contact,Application,Achievement
116,rencontrer,to meet,french_audio/rencontrer.mp3,Activity/Social,Knowledge,Achievement
117,permettre,to permit,french_audio/permettre.mp3,Communication,Application,State
118,disparaître,to disappear,french_audio/disparaître.mp3,Existence/State,Knowledge,Achievement
119,battre,to beat/hit,french_audio/battre.mp3,Physical Contact,Application,Activity
120,cacher,to hide,french_audio/cacher.mp3,Physical Contact,Application,Achievement
121,gagner,to win/earn,french_audio/gagner.mp3,Possession,Knowledge,Achievement
122,cesser,to cease,french_audio/cesser.mp3,Aspectual,Knowledge,Achievement
123,envoyer,to send,french_audio/envoyer.mp3,Communication,Application,Achievement
124,valoir,to be worth,french_audio/valoir.mp3,Existence/State,Evaluation,State
125,importer,to matter,french_audio/importer.mp3,Existence/State,Knowledge,State
126,foutre,to do/shove (slang),french_audio/foutre.mp3,Creation/Change,Application,Activity
127,empêcher,to prevent,french_audio/empêcher.mp3,Activity/Social,Application,State
128,tuer,to kill,french_audio/tuer.mp3,Physical Contact,Application,Achievement
129,frapper,to hit/knock,french_audio/frapper.mp3,Physical Contact,Application,Achievement
130,lancer,to throw/launch,french_audio/lancer.mp3,Physical Contact,Application,Achievement
131,rouler,to roll/drive,french_audio/rouler.mp3,Motion/Space,Application,Activity
132,pleurer,to cry,french_audio/pleurer.mp3,Bodily Function,Application,Activity
133,installer,to install,french_audio/installer.mp3,Physical Contact,Application,Achievement
134,remonter,to go back up,french_audio/remonter.mp3,Motion/Space,Knowledge,Activity
135,suffire,to suffice,french_audio/suffire.mp3,Existence/State,Knowledge,State
136,apporter,to bring,french_audio/apporter.mp3,Possession,Application,Achievement
137,apparaître,to appear (suddenly),french_audio/apparaître.mp3,Existence/State,Knowledge,Achievement
138,aider,to help,french_audio/aider.mp3,Activity/Social,Application,Activity
139,ressembler,to resemble,french_audio/ressembler.mp3,Existence/State,Analysis,State
140,bouger,to move,french_audio/bouger.mp3,Motion/Space,Application,Activity
141,parvenir,to reach/succeed,french_audio/parvenir.mp3,Motion/Space,Knowledge,Achievement
142,pencher,to lean/tilt,french_audio/pencher.mp3,Physical Contact,Application,Activity
143,oser,to dare,french_audio/oser.mp3,Cognition,Application,State
144,préparer,to prepare,french_audio/préparer.mp3,Creation/Change,Application,Accomplishment
145,refuser,to refuse,french_audio/refuser.mp3,Communication,Evaluation,Achievement
146,payer,to pay,french_audio/payer.mp3,Possession,Application,Achievement
147,acheter,to buy,french_audio/acheter.mp3,Possession,Application,Achievement
148,exister,to exist,french_audio/exister.mp3,Existence/State,Knowledge,State
149,accepter,to accept,french_audio/accepter.mp3,Communication,Evaluation,Achievement
150,conduire,to drive/lead,french_audio/conduire.mp3,Motion/Space,Application,Activity
151,retenir,to retain/hold back,french_audio/retenir.mp3,Possession,Application,Activity
152,remarquer,to notice,french_audio/remarquer.mp3,Perception,Knowledge,Achievement
153,fixer,to fix/stare,french_audio/fixer.mp3,Perception,Application,Activity
154,couper,to cut,french_audio/couper.mp3,Physical Contact,Application,Achievement
155,taire,to keep quiet,french_audio/taire.mp3,Communication,Application,State
156,plaire,to please,french_audio/plaire.mp3,Emotion/Affect,Knowledge,State
157,revoir,to see again,french_audio/revoir.mp3,Perception,Knowledge,Achievement
158,mener,to lead,french_audio/mener.mp3,Motion/Space,Application,Activity
159,embrasser,to kiss/embrace,french_audio/embrasser.mp3,Physical Contact,Application,Achievement
160,saisir,to seize,french_audio/saisir.mp3,Possession,Application,Achievement
161,présenter,to present,french_audio/présenter.mp3,Communication,Application,Activity
162,espérer,to hope,french_audio/espérer.mp3,Emotion/Affect,Knowledge,State
163,rejoindre,to join,french_audio/rejoindre.mp3,Motion/Space,Knowledge,Achievement
164,sauter,to jump,french_audio/sauter.mp3,Motion/Space,Application,Achievement
165,choisir,to choose,french_audio/choisir.mp3,Cognition,Evaluation,Achievement
166,annoncer,to announce,french_audio/annoncer.mp3,Communication,Application,Achievement
167,couvrir,to cover,french_audio/couvrir.mp3,Physical Contact,Application,Achievement
168,préférer,to prefer,french_audio/préférer.mp3,Emotion/Affect,Evaluation,State
169,éloigner,to move away,french_audio/éloigner.mp3,Motion/Space,Application,Activity
170,échapper,to escape,french_audio/échapper.mp3,Motion/Space,Knowledge,Achievement
171,demeurer,to dwell/stay,french_audio/demeurer.mp3,Existence/State,Knowledge,State
172,abandonner,to abandon,french_audio/abandonner.mp3,Activity/Social,Knowledge,Achievement
173,rêver,to dream,french_audio/rêver.mp3,Cognition,Synthesis,Activity
174,éprouver,to feel/test,french_audio/éprouver.mp3,Emotion/Affect,Analysis,State
175,tenter,to attempt,french_audio/tenter.mp3,Cognition,Application,Activity
176,atteindre,to reach,french_audio/atteindre.mp3,Motion/Space,Knowledge,Achievement
177,assurer,to assure,french_audio/assurer.mp3,Communication,Application,State
178,appuyer,to press/support,french_audio/appuyer.mp3,Physical Contact,Application,Activity
179,chanter,to sing,french_audio/chanter.mp3,Communication,Synthesis,Activity
180,réveiller,to wake up,french_audio/réveiller.mp3,Bodily Function,Application,Achievement
181,relever,to raise up,french_audio/relever.mp3,Motion/Space,Application,Achievement
182,accompagner,to accompany,french_audio/accompagner.mp3,Activity/Social,Application,Activity
183,murmurer,to whisper,french_audio/murmurer.mp3,Communication,Application,Activity
184,traîner,to drag,french_audio/traîner.mp3,Motion/Space,Application,Activity
185,hésiter,to hesitate,french_audio/hésiter.mp3,Cognition,Evaluation,Activity
186,charger,to load,french_audio/charger.mp3,Physical Contact,Application,Achievement
187,réussir,to succeed,french_audio/réussir.mp3,Cognition,Knowledge,Achievement
188,emporter,to take away,french_audio/emporter.mp3,Possession,Application,Achievement
189,couler,to flow/sink,french_audio/couler.mp3,Motion/Space,Knowledge,Activity
190,amuser,to amuse,french_audio/amuser.mp3,Emotion/Affect,Application,Activity
191,proposer,to propose,french_audio/proposer.mp3,Communication,Synthesis,Achievement
192,naître,to be born,french_audio/naître.mp3,Existence/State,Knowledge,Achievement
193,souffrir,to suffer,french_audio/souffrir.mp3,Emotion/Affect,Knowledge,State
194,intéresser,to interest,french_audio/intéresser.mp3,Emotion/Affect,Knowledge,State
195,surprendre,to surprise,french_audio/surprendre.mp3,Emotion/Affect,Knowledge,Achievement
196,étonner,to astonish,french_audio/étonner.mp3,Emotion/Affect,Knowledge,Achievement
197,secouer,to shake,french_audio/secouer.mp3,Physical Contact,Application,Activity
198,allumer,to light/turn on,french_audio/allumer.mp3,Physical Contact,Application,Achievement
199,observer,to observe,french_audio/observer.mp3,Perception,Analysis,Activity
200,baisser,to lower,french_audio/baisser.mp3,Motion/Space,Application,Activity
201,soulever,to lift,french_audio/soulever.mp3,Physical Contact,Application,Achievement
202,arracher,to tear out,french_audio/arracher.mp3,Physical Contact,Application,Achievement
203,mêler,to mix,french_audio/mêler.mp3,Creation/Change,Application,Activity
204,habiter,to live in,french_audio/habiter.mp3,Existence/State,Knowledge,State
205,deviner,to guess,french_audio/deviner.mp3,Cognition,Evaluation,Achievement
206,entourer,to surround,french_audio/entourer.mp3,Motion/Space,Knowledge,State
207,étendre,to stretch/spread,french_audio/étendre.mp3,Physical Contact,Application,Activity
208,éviter,to avoid,french_audio/éviter.mp3,Activity/Social,Application,State
209,former,to form,french_audio/former.mp3,Creation/Change,Synthesis,Accomplishment
210,séparer,to separate,french_audio/séparer.mp3,Physical Contact,Analysis,Achievement
211,ramener,to bring back,french_audio/ramener.mp3,Motion/Space,Application,Achievement
212,ignorer,to ignore/be unaware,french_audio/ignorer.mp3,Cognition,Knowledge,State
213,craindre,to fear,french_audio/craindre.mp3,Emotion/Affect,Knowledge,State
214,obliger,to oblige,french_audio/obliger.mp3,Activity/Social,Application,State
215,coller,to stick/glue,french_audio/coller.mp3,Physical Contact,Application,Achievement
216,poursuivre,to pursue,french_audio/poursuivre.mp3,Motion/Space,Application,Activity
217,prier,to pray/beg,french_audio/prier.mp3,Communication,Application,Activity
218,emmener,to take along,french_audio/emmener.mp3,Motion/Space,Application,Activity
219,songer,to daydream/think,french_audio/songer.mp3,Cognition,Synthesis,Activity
220,enfoncer,to sink/push in,french_audio/enfoncer.mp3,Physical Contact,Application,Achievement
221,brûler,to burn,french_audio/brûler.mp3,Creation/Change,Application,Accomplishment
222,élever,to raise/rear,french_audio/élever.mp3,Activity/Social,Application,Accomplishment
223,respirer,to breathe,french_audio/respirer.mp3,Bodily Function,Knowledge,Activity
224,placer,to place,french_audio/placer.mp3,Motion/Space,Application,Achievement
225,durer,to last,french_audio/durer.mp3,Existence/State,Knowledge,State
226,promettre,to promise,french_audio/promettre.mp3,Communication,Application,Achievement
227,marquer,to mark,french_audio/marquer.mp3,Physical Contact,Application,Achievement
228,entraîner,to lead/train,french_audio/entraîner.mp3,Activity/Social,Application,Activity
229,éclater,to burst/explode,french_audio/éclater.mp3,Creation/Change,Knowledge,Achievement
230,terminer,to finish,french_audio/terminer.mp3,Aspectual,Knowledge,Achievement
231,accrocher,to hang/hook,french_audio/accrocher.mp3,Physical Contact,Application,Achievement
232,dresser,to set up/train,french_audio/dresser.mp3,Creation/Change,Application,Accomplishment
233,risquer,to risk,french_audio/risquer.mp3,Cognition,Evaluation,State
234,sauver,to save,french_audio/sauver.mp3,Activity/Social,Application,Achievement
235,maintenir,to maintain,french_audio/maintenir.mp3,Existence/State,Application,State
236,retirer,to withdraw/remove,french_audio/retirer.mp3,Motion/Space,Application,Achievement
237,adresser,to address,french_audio/adresser.mp3,Communication,Application,Activity
238,promener,to walk/stroll,french_audio/promener.mp3,Motion/Space,Application,Activity
239,tromper,to deceive,french_audio/tromper.mp3,Communication,Application,Achievement
240,juger,to judge,french_audio/juger.mp3,Cognition,Evaluation,Achievement
241,avouer,to confess,french_audio/avouer.mp3,Communication,Application,Achievement
242,diriger,to direct/lead,french_audio/diriger.mp3,Activity/Social,Application,Activity
243,engager,to engage/hire,french_audio/engager.mp3,Activity/Social,Application,Achievement
244,trembler,to tremble,french_audio/trembler.mp3,Bodily Function,Knowledge,Activity
245,amener,to bring (someone),french_audio/amener.mp3,Motion/Space,Application,Activity
246,casser,to break,french_audio/casser.mp3,Physical Contact,Application,Achievement
247,vendre,to sell,french_audio/vendre.mp3,Possession,Application,Achievement
248,danser,to dance,french_audio/danser.mp3,Activity/Social,Application,Activity
249,sonner,to ring,french_audio/sonner.mp3,Perception,Knowledge,Achievement
250,écarter,to push aside,french_audio/écarter.mp3,Motion/Space,Application,Achievement
251,appartenir,to belong,french_audio/appartenir.mp3,Possession,Knowledge,State
252,refermer,to close again,french_audio/refermer.mp3,Physical Contact,Application,Achievement
253,profiter,to benefit/take advantage,french_audio/profiter.mp3,Activity/Social,Evaluation,Activity
254,défendre,to defend/forbid,french_audio/défendre.mp3,Communication,Evaluation,State
255,écraser,to crush,french_audio/écraser.mp3,Physical Contact,Application,Achievement
256,allonger,to lengthen/lie down,french_audio/allonger.mp3,Motion/Space,Application,Activity
257,lâcher,to let go,french_audio/lâcher.mp3,Physical Contact,Application,Achievement
258,agiter,to shake/wave,french_audio/agiter.mp3,Physical Contact,Application,Activity
259,réfléchir,to reflect/think,french_audio/réfléchir.mp3,Cognition,Analysis,Activity
260,hurler,to yell,french_audio/hurler.mp3,Communication,Application,Activity
261,voler,to fly/steal,french_audio/voler.mp3,Motion/Space,Application,Activity
262,filer,to dash/spin,french_audio/filer.mp3,Motion/Space,Application,Activity
263,douter,to doubt,french_audio/douter.mp3,Cognition,Evaluation,State
264,repartir,to set off again,french_audio/repartir.mp3,Motion/Space,Knowledge,Achievement
265,considérer,to consider,french_audio/considérer.mp3,Cognition,Evaluation,State
266,pénétrer,to penetrate,french_audio/pénétrer.mp3,Motion/Space,Knowledge,Achievement
267,prêter,to lend,french_audio/prêter.mp3,Possession,Application,Achievement
268,plonger,to dive,french_audio/plonger.mp3,Motion/Space,Application,Achievement
269,prononcer,to pronounce,french_audio/prononcer.mp3,Communication,Application,Activity
270,éclairer,to light up,french_audio/éclairer.mp3,Perception,Application,Achievement
271,représenter,to represent,french_audio/représenter.mp3,Communication,Application,State
272,livrer,to deliver,french_audio/livrer.mp3,Possession,Application,Achievement
273,fumer,to smoke,french_audio/fumer.mp3,Bodily Function,Application,Activity
274,reposer,to rest,french_audio/reposer.mp3,Bodily Function,Knowledge,Activity
275,caresser,to stroke/pet,french_audio/caresser.mp3,Physical Contact,Application,Activity
276,souffler,to blow,french_audio/souffler.mp3,Physical Contact,Application,Activity
277,recommencer,to start again,french_audio/recommencer.mp3,Aspectual,Knowledge,Achievement
278,disposer,to arrange/have at disposal,french_audio/disposer.mp3,Possession,Application,State
279,inviter,to invite,french_audio/inviter.mp3,Activity/Social,Application,Achievement
280,posséder,to possess,french_audio/posséder.mp3,Possession,Knowledge,State
281,souhaiter,to wish,french_audio/souhaiter.mp3,Emotion/Affect,Knowledge,State
282,jurer,to swear,french_audio/jurer.mp3,Communication,Application,Achievement
283,crever,to burst/die (slang),french_audio/crever.mp3,Creation/Change,Knowledge,Achievement
284,achever,to complete,french_audio/achever.mp3,Aspectual,Knowledge,Achievement
285,remplir,to fill,french_audio/remplir.mp3,Physical Contact,Application,Accomplishment
286,briller,to shine,french_audio/briller.mp3,Perception,Knowledge,State
287,supporter,to endure/support,french_audio/supporter.mp3,Emotion/Affect,Application,State
288,obtenir,to obtain,french_audio/obtenir.mp3,Possession,Knowledge,Achievement
289,commander,to order,french_audio/commander.mp3,Communication,Application,Activity
290,peindre,to paint,french_audio/peindre.mp3,Creation/Change,Synthesis,Accomplishment
291,dessiner,to draw,french_audio/dessiner.mp3,Creation/Change,Synthesis,Accomplishment
292,partager,to share,french_audio/partager.mp3,Possession,Application,Activity
293,enlever,to remove,french_audio/enlever.mp3,Motion/Space,Application,Achievement
294,dépasser,to exceed/overtake,french_audio/dépasser.mp3,Motion/Space,Knowledge,Achievement
295,imposer,to impose,french_audio/imposer.mp3,Activity/Social,Application,Achievement
296,prévoir,to foresee,french_audio/prévoir.mp3,Cognition,Evaluation,State
297,éteindre,to extinguish,french_audio/éteindre.mp3,Physical Contact,Application,Achievement
298,fuir,to flee,french_audio/fuir.mp3,Motion/Space,Knowledge,Activity
299,croiser,to cross/pass,french_audio/croiser.mp3,Motion/Space,Application,Achievement
300,regretter,to regret,french_audio/regretter.mp3,Emotion/Affect,Evaluation,State
301,planter,to plant,french_audio/planter.mp3,Creation/Change,Application,Achievement
302,arranger,to arrange,french_audio/arranger.mp3,Creation/Change,Application,Accomplishment
303,forcer,to force,french_audio/forcer.mp3,Activity/Social,Application,Activity
304,attirer,to attract,french_audio/attirer.mp3,Motion/Space,Knowledge,Activity
305,ramasser,to pick up,french_audio/ramasser.mp3,Physical Contact,Application,Achievement
306,claquer,to slam/snap,french_audio/claquer.mp3,Perception,Knowledge,Achievement
307,distinguer,to distinguish,french_audio/distinguer.mp3,Cognition,Analysis,Achievement
308,convenir,to suit/agree,french_audio/convenir.mp3,Communication,Evaluation,State
309,prévenir,to warn/prevent,french_audio/prévenir.mp3,Communication,Application,Achievement
310,évoquer,to evoke,french_audio/évoquer.mp3,Communication,Application,Activity
311,surgir,to arise/loom,french_audio/surgir.mp3,Existence/State,Knowledge,Achievement
312,déclarer,to declare,french_audio/déclarer.mp3,Communication,Application,Achievement
313,endormir,to fall asleep,french_audio/endormir.mp3,Bodily Function,Knowledge,Achievement
314,interroger,to question,french_audio/interroger.mp3,Communication,Analysis,Activity
315,exprimer,to express,french_audio/exprimer.mp3,Communication,Synthesis,Activity
316,protéger,to protect,french_audio/protéger.mp3,Activity/Social,Application,State
317,hausser,to raise/shrug,french_audio/hausser.mp3,Motion/Space,Application,Achievement
318,gêner,to bother,french_audio/gêner.mp3,Emotion/Affect,Application,State
319,attacher,to attach,french_audio/attacher.mp3,Physical Contact,Application,Achievement
320,presser,to press/hurry,french_audio/presser.mp3,Physical Contact,Application,Activity
321,inquiéter,to worry,french_audio/inquiéter.mp3,Emotion/Affect,Knowledge,State
322,peser,to weigh,french_audio/peser.mp3,Existence/State,Evaluation,State
323,vider,to empty,french_audio/vider.mp3,Physical Contact,Application,Achievement
324,attaquer,to attack,french_audio/attaquer.mp3,Activity/Social,Application,Activity
325,effacer,to erase,french_audio/effacer.mp3,Physical Contact,Application,Achievement
326,ressentir,to feel (emotion),french_audio/ressentir.mp3,Emotion/Affect,Knowledge,State
327,causer,to cause/chat,french_audio/causer.mp3,Communication,Application,Activity
328,traiter,to treat/process,french_audio/traiter.mp3,Activity/Social,Analysis,Activity
329,enfermer,to lock up,french_audio/enfermer.mp3,Physical Contact,Application,Achievement
330,inventer,to invent,french_audio/inventer.mp3,Creation/Change,Synthesis,Accomplishment
331,laver,to wash,french_audio/laver.mp3,Physical Contact,Application,Accomplishment
332,confier,to entrust,french_audio/confier.mp3,Communication,Application,Achievement
333,recouvrir,to cover,french_audio/recouvrir.mp3,Physical Contact,Application,Accomplishment
334,reculer,to back up,french_audio/reculer.mp3,Motion/Space,Knowledge,Activity
335,produire,to produce,french_audio/produire.mp3,Creation/Change,Synthesis,Accomplishment
336,admirer,to admire,french_audio/admirer.mp3,Emotion/Affect,Evaluation,State
337,rassurer,to reassure,french_audio/rassurer.mp3,Communication,Application,Achievement
338,ranger,to tidy/put away,french_audio/ranger.mp3,Motion/Space,Application,Accomplishment
339,chasser,to hunt/drive away,french_audio/chasser.mp3,Activity/Social,Application,Activity
340,taper,to hit/type,french_audio/taper.mp3,Physical Contact,Application,Activity
341,accorder,to grant/tune,french_audio/accorder.mp3,Communication,Application,Achievement
342,plaindre,to pity,french_audio/plaindre.mp3,Emotion/Affect,Evaluation,State
343,balancer,to swing/throw away,french_audio/balancer.mp3,Motion/Space,Application,Activity
344,saluer,to greet,french_audio/saluer.mp3,Communication,Application,Achievement
345,prétendre,to claim,french_audio/prétendre.mp3,Communication,Application,Activity
346,habiller,to dress,french_audio/habiller.mp3,Bodily Function,Application,Accomplishment
347,insister,to insist,french_audio/insister.mp3,Communication,Application,Activity
348,téléphoner,to telephone,french_audio/téléphoner.mp3,Communication,Application,Activity
349,précipiter,to hurl/rush,french_audio/précipiter.mp3,Motion/Space,Application,Achievement
350,désigner,to designate,french_audio/désigner.mp3,Communication,Knowledge,Achievement
351,détacher,to detach,french_audio/détacher.mp3,Physical Contact,Application,Achievement
352,soupirer,to sigh,french_audio/soupirer.mp3,Bodily Function,Knowledge,Activity
353,avaler,to swallow,french_audio/avaler.mp3,Bodily Function,Application,Achievement
354,marier,to marry,french_audio/marier.mp3,Activity/Social,Knowledge,Achievement
355,piquer,to sting/prick,french_audio/piquer.mp3,Physical Contact,Knowledge,Achievement
356,franchir,to cross/break through,french_audio/franchir.mp3,Motion/Space,Knowledge,Achievement
357,nourrir,to feed,french_audio/nourrir.mp3,Bodily Function,Application,Accomplishment
358,renoncer,to renounce,french_audio/renoncer.mp3,Cognition,Evaluation,Achievement
359,contempler,to contemplate,french_audio/contempler.mp3,Perception,Analysis,Activity
360,redresser,to straighten,french_audio/redresser.mp3,Physical Contact,Application,Achievement
361,interrompre,to interrupt,french_audio/interrompre.mp3,Communication,Application,Achievement
